300 56691
1 3 1
1 4 12
1 5 1
1 7 3
1 9 4
1 10 2
1 11 6
1 12 10
1 13 10
1 14 13
1 15 12
1 16 7
1 19 13
1 20 1
1 21 14
1 23 1
1 24 10
1 26 3
1 27 14
1 30 8
1 32 6
1 34 9
1 35 2
1 37 10
1 39 7
1 40 9
1 42 8
1 44 2
1 45 3
1 46 14
1 47 8
1 51 1
1 53 10
1 54 13
1 55 6
1 56 6
1 57 7
1 58 11
1 60 12
1 62 10
1 67 2
1 68 13
1 70 9
1 72 5
1 74 6
1 77 3
1 79 13
1 80 4
1 82 14
1 83 11
1 84 2
1 85 13
1 86 9
1 88 3
1 90 3
1 92 4
1 93 2
1 94 10
1 95 10
1 96 14
1 97 2
1 99 3
1 100 6
1 103 12
1 104 13
1 105 14
1 106 10
1 107 1
1 109 9
1 110 9
1 111 8
1 112 6
1 113 3
1 114 2
1 115 11
1 116 8
1 117 6
1 119 3
1 120 11
1 123 3
1 125 13
1 126 5
1 127 12
1 128 2
1 131 8
1 133 13
1 135 2
1 136 6
1 137 6
1 140 14
1 142 14
1 144 7
1 145 4
1 146 12
1 147 3
1 148 11
1 149 10
1 151 4
1 154 10
1 156 3
1 157 9
1 158 2
1 160 2
1 161 11
1 162 6
1 164 5
1 165 6
1 166 14
1 168 14
1 169 5
1 170 13
1 171 1
1 172 10
1 173 4
1 179 3
1 183 2
1 184 11
1 185 2
1 187 1
1 188 12
1 189 10
1 190 5
1 192 1
1 195 1
1 196 13
1 197 9
1 198 5
1 199 4
1 201 5
1 203 8
1 204 1
1 208 14
1 212 9
1 218 3
1 221 14
1 223 10
1 226 10
1 227 5
1 228 14
1 231 5
1 232 4
1 234 2
1 235 12
1 236 8
1 237 6
1 238 13
1 239 8
1 240 14
1 241 14
1 242 6
1 243 8
1 244 14
1 245 11
1 246 10
1 247 8
1 248 2
1 249 8
1 250 4
1 251 3
1 252 6
1 253 7
1 254 11
1 255 7
1 256 7
1 257 12
1 258 7
1 259 11
1 262 4
1 264 14
1 266 12
1 272 11
1 273 10
1 274 6
1 276 14
1 277 10
1 279 4
1 282 3
1 283 8
1 284 1
1 287 12
1 290 14
1 292 5
1 294 3
1 295 1
1 296 4
1 297 6
1 298 9
1 299 13
1 300 8
2 1 14
2 5 12
2 8 5
2 13 2
2 15 13
2 16 8
2 18 4
2 19 13
2 21 4
2 23 10
2 24 3
2 25 14
2 27 4
2 29 9
2 30 7
2 31 3
2 33 4
2 34 7
2 35 8
2 36 9
2 37 1
2 38 3
2 39 13
2 41 5
2 42 10
2 44 9
2 45 10
2 47 13
2 49 13
2 50 10
2 53 10
2 54 6
2 55 7
2 56 9
2 59 9
2 60 14
2 62 1
2 65 7
2 66 3
2 67 14
2 68 6
2 69 2
2 70 8
2 71 12
2 72 2
2 73 4
2 74 3
2 77 8
2 78 4
2 80 3
2 82 8
2 85 4
2 87 13
2 88 5
2 89 3
2 91 6
2 92 8
2 93 2
2 95 5
2 96 7
2 97 2
2 98 8
2 99 7
2 101 6
2 105 14
2 107 14
2 108 9
2 109 1
2 110 1
2 111 11
2 112 4
2 117 8
2 118 8
2 119 8
2 120 10
2 122 11
2 123 1
2 124 7
2 125 7
2 126 12
2 127 1
2 129 14
2 131 9
2 132 4
2 133 10
2 134 10
2 135 6
2 138 14
2 140 1
2 142 11
2 145 2
2 147 3
2 152 11
2 155 5
2 156 11
2 157 4
2 158 3
2 160 11
2 161 2
2 163 10
2 164 14
2 165 9
2 166 1
2 167 8
2 169 9
2 170 13
2 171 9
2 172 2
2 174 14
2 175 11
2 178 2
2 179 14
2 181 6
2 182 10
2 183 8
2 184 6
2 186 10
2 189 7
2 192 11
2 193 13
2 194 7
2 196 7
2 197 11
2 198 2
2 200 2
2 201 2
2 202 14
2 203 7
2 205 8
2 206 7
2 207 14
2 209 8
2 210 6
2 212 9
2 213 4
2 214 2
2 215 9
2 217 11
2 218 8
2 219 12
2 220 12
2 223 1
2 224 11
2 225 2
2 226 1
2 227 7
2 228 6
2 229 12
2 230 6
2 231 3
2 232 6
2 233 12
2 235 3
2 236 11
2 237 2
2 238 2
2 239 12
2 240 10
2 242 4
2 243 7
2 244 9
2 245 3
2 247 1
2 248 13
2 249 13
2 252 10
2 255 5
2 256 6
2 258 12
2 260 10
2 261 5
2 264 11
2 265 5
2 266 6
2 268 9
2 269 2
2 271 8
2 272 13
2 273 12
2 274 9
2 276 12
2 278 9
2 279 14
2 280 14
2 281 14
2 282 14
2 283 12
2 284 8
2 285 12
2 287 8
